CAN LOG COMMENTS		Date: 2016-11-21
----------------

 #	Time:				Comment:
---	-------------------	--------
001	10-23-2014 08:18:16	80 kg Schwein w
002	10-23-2014 08:22:17	0,25ug/h Fentanyl
003	10-23-2014 08:22:27	40mg/h prophol
004	10-23-2014 08:22:38	500 ml RL
005	10-23-2014 08:35:03	Osoephagussonde gelegt, aufzeichnung �ber p2 mit neuem board an adc1
006	10-23-2014 08:44:29	1 Gela
007	10-23-2014 08:47:18	PGA1=Oxy Eingang
008	10-23-2014 08:47:28	PGA2=Oxy Ausgang
009	10-23-2014 08:49:35	Auszeichnung PGA2 dspace gestartet
010	10-23-2014 08:49:43	Aufzeichnung
011	10-23-2014 09:07:44	dspace Neukompilierung
012	10-23-2014 09:21:58	New Offset on ID CAN_ID_PRESSURE_SIG2(0x10030001): 85,09 mmHg
013	10-23-2014 09:24:10	New Offset on ID CAN_ID_PRESSURE_SIG1(0x10030000): 85,09 mmHg
014	10-23-2014 09:25:14	New Offset on ID CAN_ID_PRESSURE_SIG3(0x10030002): 75,04 mmHg
015	10-23-2014 09:26:51	SOS.Sonde 50cm im Schweni
016	10-23-2014 09:27:39	Oesophasgus-Sonde 50cm im Schwein
017	10-23-2014 09:47:15	EIT Start
018	10-23-2014 09:47:51	EIT-file 02_001
019	10-23-2014 09:51:37	1 Stero Flasche
020	10-23-2014 10:00:20	arterielle bga
021	10-23-2014 10:12:48	oesophagus neu aufgeblasen
022	10-23-2014 10:15:10	pga1 on oxy eingang angeschlossen
023	10-23-2014 10:18:43	bga arteriell
024	10-23-2014 10:20:59	5000 einheiten heparin
025	10-23-2014 10:31:27	20 mval kalium
026	10-23-2014 10:31:56	9 mmol magnesium
027	10-23-2014 10:34:20	0.2 mg fentanil bonus
028	10-23-2014 10:40:08	bga gemVen
029	10-23-2014 10:44:29	P1 arteriell angeschlossen
030	10-23-2014 10:47:11	New Offset on ID CAN_ID_PRESSURE_SIG3(0x10030002): 85,09 mmHg
031	10-23-2014 10:47:33	New Offset on ID CAN_ID_PRESSURE_SIG4(0x10030003): 81,74 mmHg
032	10-23-2014 10:48:44	zu 29: P1 von der dspace box
033	10-23-2014 10:49:03	p4 von can ist am pak
034	10-23-2014 10:53:13	heparin 2000 ie/h
035	10-23-2014 10:53:25	act409
036	10-23-2014 11:09:14	osyphagus aufgeblasen
037	10-23-2014 11:13:49	linke fermoralkan�le liegt nicht im gef��. Nur 1x20er Kan�le
038	10-23-2014 11:14:44	Press1 Outlet
039	10-23-2014 11:17:06	bga arteriell 
040	10-23-2014 11:26:04	letzte bga konnte nicht ausgewertet werden
041	10-23-2014 11:26:41	act362
042	10-23-2014 11:27:30	Press 2 before Oxy
043	10-23-2014 11:27:53	Press 3 after Oxy
044	10-23-2014 11:28:14	pga arteriell
045	10-23-2014 11:28:25	bga war gemeint
046	10-23-2014 11:33:43	synchronisation dspace comment 5
047	10-23-2014 11:35:16	syphagus sonde aufgepumpt
048	10-23-2014 11:35:29	arterielle druckmessung gesp�lt
049	10-23-2014 11:41:25	vedge 19
050	10-23-2014 11:43:24	cardiac output 7.5
051	10-23-2014 11:43:29	s�ttigung 77%
